patient_id,admission_date,species,common_name,found_city,found_county,status,final_date
2022-0727,7/8/22,CHSW,Chimney swift,Greensboro,Guilford,R,7/30/22
2022-0728,7/8/22,CHSW,Chimney swift,Greensboro,Guilford,R,7/21/22
2022-0729,7/8/22,CHSW,Chimney swift,Greensboro,Guilford,R,7/30/22
2022-0730,7/8/22,CHSW,Chimney swift,Greensboro,Guilford,R,7/30/22
2022-0731,7/8/22,CHSW,Chimney swift,Greensboro,Guilford,R,7/21/22
2022-0732,7/8/22,BARS,Barn swallow,Winston-Salem,NA,R,8/3/22
2022-0733,7/8/22,BARS,Barn swallow,Winston-Salem,NA,R,8/3/22
2022-0734,7/8/22,CAWR,Carolina wren,Wilkesboro,Wilkes,R,8/1/22
2022-0735,7/8/22,CAWR,Carolina wren,,NA,D24,7/8/22
2022-0736,7/8/22,BRTH,Brown thrasher,,NA,DOA,7/8/22
2022-0737,7/8/22,GBHE,Great blue heron,Boone,Watauga,E24,7/8/22
2022-0738,7/8/22,CEWA,Cedar waxwing,Asheville,Buncombe,E24,7/8/22
2022-0739,7/8/22,CEWA,Cedar waxwing,Asheville,Buncombe,R,9/20/22
2022-0740,7/8/22,AMRO,American robin,Asheville,Buncombe,R,7/18/22
2022-0741,7/8/22,AMRO,American robin,Asheville,Buncombe,R,7/18/22
2022-0742,7/8/22,CHSW,Chimney swift,Asheville,Buncombe,R,8/4/22
2022-0743,7/8/22,CHSW,Chimney swift,Asheville,Buncombe,R,8/3/22
2022-0744,7/8/22,CHSW,Chimney swift,Asheville,Buncombe,D,8/1/22
2022-0745,7/8/22,CHSW,Chimney swift,,NA,R,8/3/22
2022-0746,7/8/22,CHSW,Chimney swift,Asheville,Buncombe,R,7/30/22
2022-0747,7/8/22,CHSW,Chimney swift,Asheville,Buncombe,R,7/21/22
2022-0748,7/8/22,CHSW,Chimney swift,Asheville,Buncombe,R,7/21/22
2022-0749,7/8/22,CHSW,Chimney swift,Asheville,Buncombe,R,8/4/22
2022-0750,7/8/22,AMRO,American robin,Asheville,Buncombe,R,7/18/22
2022-0751,7/8/22,EATO,Eastern towhee,Asheville,Buncombe,D,7/27/22
2022-0752,7/8/22,BLJA,Blue jay,Asheville,Buncombe,R,8/13/22
2022-0753,7/8/22,CHSW,Chimney swift,Asheville,Buncombe,R,8/26/22
2022-0754,7/8/22,CHSW,Chimney swift,Asheville,Buncombe,DOA,7/8/22
2022-0755,7/8/22,CAWR,Carolina wren,Asheville,Buncombe,R,8/6/22
2022-0756,7/8/22,CAWR,Carolina wren,Asheville,Buncombe,R,8/1/22
2022-0757,7/8/22,NOCA,Northern cardinal,Asheville,Buncombe,D,8/8/22
2022-0758,7/8/22,NOCA,Northern cardinal,Asheville,Buncombe,R,8/23/22
2022-0759,7/8/22,NOCA,Northern cardinal,Asheville,Buncombe,R,8/23/22
2022-0760,7/8/22,MODO,Mourning dove,Jefferson,Ashe,E24,7/8/22
2022-0761,7/8/22,MODO,Mourning dove,unknown,unknown,D,8/30/22
2022-0762,7/8/22,CHSW,Chimney swift,winston-salem,NA,R,7/30/22
2022-0763,7/8/22,ODVI,White-tailed deer,North Wilksboro,NA,T,7/9/22
2022-0764,7/8/22,SYFL,Eastern cottontail,Watauga,NA,R,7/13/22
2022-0765,7/8/22,CHSW,Chimney swift,Spruce Pine,Mitchell,R,7/30/22
2022-0766,7/8/22,CHSW,Chimney swift,Spruce Pine,Mitchell,R,7/30/22
